0.158741,
0.004337,
0.00459,

0.004269,
0.004418,
10.483394,
9.567181,
9.396871,
9.563496,
9.772205,
3.978355,
4.427011,
4.724796,
5.064948,
5.3438,
4.875226,
5.828109,
6.134351,
.574577,
4.992033,
5.238131,
5.406674,
0.562498,
0.15659,

0.004969,
0.00428,

0.004033,
0.004099,
3.333994,
4.232386,
4.770414,
4.663278,
6.287883,
4.203197,
0.373946,
0.829354,
1.018111,
0.022062,
1.236031,
0.387521,
0.370346,
1.985557,
1.757694,
0.501255,
0.952488,
0.830916,
0.006953,
0.40487,
0.006739,
0.00499,

0.004273,
0.004964,
0.332804,
0.629538,
0.94975,
0.278425,
0.686313,
0.132637,
0.178134,
0.003872,
0.012458,
0.008577,
0.00401,

0.583795,
0.448759,
0.008814,
.489411,
0.608659,
0.765038,
0.681812,
335224,
0.257058,
0.29578,

0.1275,
,
0.176558,
.179665,
0.003961,
0.003972,
0.004014,
0.015322,
0.003835,
0.970169,
0.756345,
0.589394,
0.176094,
0.239051,
0.271878,
0.53074,
0.068556,
0.662918,
0.06017,
0.250286,
0.272847,0.208178,

0.651101,
0.433159,
0.208512,
0.003859,
0.003779,
0.003854,
0.002043,
0.016578,
0.628349,
0.514507,
0.737047,
0.859175,
0.24228,
.197661,
0.150611,
0.036693,
0.188949,
0.379418,
0.442987,
0.265061,
0.221051,
0.253545,
0.265208,
0.244614,
0.174749,
0.192452,
0.150779,
0.004394,00.004263,00.004145,00.004419,
.720317,
5.004364,
4.51893,
5.234323,
0.481222,
1.541192,
1.27242,
1.081574,
0.416382,
1.249621,
1.503801,
1.898508,
1.716607,
4.097914,
3.87788,
4.413249,
0.571193,0.576403,
0.004233,
0.371497,
0.004074,
0.001793,
0.0018,
,
0.0018,
,
0.001976,
0.381208,
0.742074,
0.781134,
0.395826,
0.095655,
0.004206,
0.004292,
0.008713,
0.002803,
0.009243,
0.00424,

0.542618,
0.947644,
0.758019,
0.249953,
0.513335,
0.345259,
0.292677,
0.587527,
0.469788,
0.112953,
0.009579,
0.010329,
0.006351,
0.005727,00.004065,
.018403,
0.863736,
1.12131,
0.667704,
1.369956,
0.219283,
0.298139,
